,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
0,188,0,1,0,0,0,0,0,0,0,0,0,0
1,355,0,1,0,0,0,0,0,0,0,0,0,0
2,449,0,1,0,0,0,0,0,0,0,0,0,0
3,783,0,1,0,0,0,0,0,0,0,0,0,0
4,828,0,1,0,0,0,0,0,0,0,0,0,0
5,832,0,1,0,0,0,0,0,0,0,0,0,0
6,921,0,1,0,0,0,0,0,0,0,0,0,0
7,1186,0,1,0,0,0,0,0,0,0,0,0,0
8,1335,0,1,0,0,0,0,0,0,0,0,0,0
9,1390,0,1,0,0,0,0,0,0,0,0,0,0
10,1509,1,0,0,0,0,0,0,0,0,0,0,0
11,1766,0,1,0,0,0,0,0,0,0,0,0,0
12,1878,0,1,0,0,0,0,0,0,0,0,0,0
13,2054,0,1,0,0,0,0,0,0,0,0,0,0
14,2120,0,1,0,0,0,0,0,0,0,0,0,0
15,2460,0,1,0,0,0,0,0,0,0,0,0,0
16,2662,0,1,0,0,0,0,0,0,0,0,0,0
17,2718,0,1,0,0,0,0,0,0,0,0,0,0
18,2968,0,1,0,0,0,0,0,0,0,0,0,0
19,2987,0,1,0,0,0,0,0,0,0,0,0,0
20,3201,1,0,0,0,0,0,0,0,0,0,0,0
21,4157,0,1,0,0,0,0,0,0,0,0,0,0
22,4239,0,1,0,0,0,0,0,0,0,0,0,0
23,5086,0,1,0,0,0,0,0,0,0,0,0,0
24,5463,0,1,0,0,0,0,0,0,0,0,0,0
25,5612,0,1,0,0,0,0,0,0,0,0,0,0
26,6732,0,1,0,0,0,0,0,0,0,0,0,0
27,7041,0,1,0,0,0,0,0,0,0,0,0,0
28,7114,0,1,0,0,0,0,0,0,0,0,0,0
29,7270,0,1,0,0,0,0,0,0,0,0,0,0
30,8263,0,1,0,0,0,0,0,0,0,0,0,0
31,8641,0,1,0,0,0,0,0,0,0,0,0,0
32,9037,0,1,0,0,0,0,0,0,0,0,0,0
33,9150,0,1,0,0,0,0,0,0,0,0,0,0
34,9716,0,1,0,0,0,0,0,0,0,0,0,0
35,9742,0,1,0,0,0,0,0,0,0,0,0,0
36,9783,0,1,0,0,0,0,0,0,0,0,0,0
37,9861,0,1,0,0,0,0,0,0,0,0,0,0
38,10432,0,1,0,0,0,0,0,0,0,0,0,0
39,10615,0,1,0,0,0,0,0,0,0,0,0,0
40,10709,0,1,0,0,0,0,0,0,0,0,0,0
41,10725,0,1,0,0,0,0,0,0,0,0,0,0
42,11100,0,1,0,0,0,0,0,0,0,0,0,0
43,11183,0,1,0,0,0,0,0,0,0,0,0,0
44,11372,0,1,0,0,0,0,0,0,0,0,0,0
45,11505,0,1,0,0,0,0,0,0,0,0,0,0
46,11604,0,1,0,0,0,0,0,0,0,0,0,0
47,13337,0,1,0,0,0,0,0,0,0,0,0,0
48,13451,0,1,0,0,0,0,0,0,0,0,0,0
49,13651,0,1,0,0,0,0,0,0,0,0,0,0
50,13757,0,1,0,0,0,0,0,0,0,0,0,0
51,14646,0,1,0,0,0,0,0,0,0,0,0,0
52,14689,0,1,0,0,0,0,0,0,0,0,0,0
53,15631,0,1,0,0,0,0,0,0,0,0,0,0
54,15747,0,1,0,0,0,0,0,0,0,0,0,0
55,16011,0,1,0,0,0,0,0,0,0,0,0,0
56,16061,0,1,0,0,0,0,0,0,0,0,0,0
57,16182,0,1,0,0,0,0,0,0,0,0,0,0
58,16300,0,1,0,0,0,0,0,0,0,0,0,0
59,16353,0,1,0,0,0,0,0,0,0,0,0,0
60,16732,0,1,0,0,0,0,0,0,0,0,0,0
