,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
0,22,0,0,0,1,0,0,0,1,0,0,0,0
1,70,0,0,0,1,0,0,0,1,0,0,0,0
2,108,0,0,0,1,0,0,0,1,0,0,0,0
3,139,0,0,0,1,0,0,0,1,0,0,0,0
4,171,0,0,0,1,0,0,0,1,0,0,0,0
5,188,0,0,0,1,0,0,0,1,0,0,0,0
6,294,0,0,0,1,0,0,0,1,0,0,0,0
7,336,0,0,0,1,0,0,0,1,0,0,0,0
8,355,0,0,0,1,0,0,0,1,0,0,0,0
9,360,0,0,0,1,0,0,0,1,0,0,0,0
10,449,0,0,0,1,0,0,0,1,0,0,0,0
11,515,0,0,0,1,0,0,0,1,0,0,0,0
12,783,0,0,0,1,0,0,0,1,0,0,0,0
13,805,0,0,0,1,0,0,0,1,0,0,0,0
14,827,0,0,0,1,0,0,0,1,0,0,0,0
15,828,0,0,0,1,0,0,0,1,0,0,0,0
16,832,0,0,0,1,0,0,0,1,0,0,0,0
17,883,0,0,0,1,0,0,0,1,0,0,0,0
18,888,0,0,0,1,0,0,0,1,0,0,0,0
19,921,0,0,0,1,0,0,0,1,0,0,0,0
20,932,0,0,0,1,0,0,0,1,0,0,0,0
21,1186,0,0,0,1,0,0,0,1,0,0,0,0
22,1279,0,0,0,1,0,0,0,1,0,0,0,0
23,1308,0,0,0,1,0,0,0,1,0,0,0,0
24,1335,0,0,0,1,0,0,0,1,0,0,0,0
25,1390,0,0,0,1,0,0,0,1,0,0,0,0
26,1420,0,0,0,1,0,0,0,1,0,0,0,0
27,1480,0,0,0,1,0,0,0,1,0,0,0,0
28,1509,0,0,1,0,1,0,0,0,0,0,0,0
29,1622,0,0,0,1,0,0,0,1,0,0,0,0
30,1679,0,0,0,1,0,0,0,1,0,0,0,0
31,1766,0,0,0,1,0,0,0,1,0,0,0,0
32,1819,0,0,0,1,0,0,0,1,0,0,0,0
33,1827,0,0,0,1,0,0,0,1,0,0,0,0
34,1878,0,0,0,1,0,0,0,1,0,0,0,0
35,2040,0,0,0,1,0,0,0,1,0,0,0,0
36,2054,0,0,0,1,0,0,0,1,0,0,0,0
37,2120,0,0,0,1,0,0,0,1,0,0,0,0
38,2317,0,0,0,1,0,0,0,1,0,0,0,0
39,2359,0,0,0,1,0,0,0,1,0,0,0,0
40,2444,0,0,0,1,0,0,0,1,0,0,0,0
41,2460,0,0,0,1,0,0,0,1,0,0,0,0
42,2567,0,0,0,1,0,0,0,1,0,0,0,0
43,2662,0,0,0,1,0,0,0,1,0,0,0,0
44,2718,0,0,0,1,0,0,0,1,0,0,0,0
45,2782,0,0,0,1,0,0,0,1,0,0,0,0
46,2827,0,0,0,1,0,0,0,1,0,0,0,0
47,2915,0,0,0,1,0,0,0,1,0,0,0,0
48,2968,0,0,0,1,0,0,0,1,0,0,0,0
49,2987,0,0,0,1,0,0,0,1,0,0,0,0
50,2997,0,0,0,1,0,0,0,1,0,0,0,0
51,3012,0,0,0,1,0,0,0,1,0,0,0,0
52,3032,0,0,0,1,0,0,0,1,0,0,0,0
53,3050,0,0,0,1,0,0,0,1,0,0,0,0
54,3111,0,0,0,1,0,0,0,1,0,0,0,0
55,3141,0,0,0,1,0,0,0,1,0,0,0,0
56,3146,0,0,0,1,0,0,0,1,0,0,0,0
57,3178,0,0,0,1,0,0,0,1,0,0,0,0
58,3201,0,0,1,0,1,0,0,0,0,0,0,0
59,3370,0,0,0,1,0,0,0,1,0,0,0,0
60,3514,0,0,0,1,0,0,0,1,0,0,0,0
61,3605,0,0,0,1,0,0,0,1,0,0,0,0
62,3750,0,0,0,1,0,0,0,1,0,0,0,0
63,3786,0,0,0,1,0,0,0,1,0,0,0,0
64,3891,0,0,0,1,0,0,0,1,0,0,0,0
65,3906,0,0,0,1,0,0,0,1,0,0,0,0
66,4157,0,0,0,1,0,0,0,1,0,0,0,0
67,4170,0,0,0,1,0,0,0,1,0,0,0,0
68,4239,0,0,0,1,0,0,0,1,0,0,0,0
69,4291,0,0,0,1,0,0,0,1,0,0,0,0
70,4357,0,0,0,1,0,0,0,1,0,0,0,0
71,4718,0,0,0,1,0,0,0,1,0,0,0,0
72,4886,0,0,0,1,0,0,0,1,0,0,0,0
73,4925,0,0,0,1,0,0,0,1,0,0,0,0
74,5002,0,0,0,1,0,0,0,1,0,0,0,0
75,5086,0,0,0,1,0,0,0,1,0,0,0,0
76,5115,0,0,1,0,1,0,0,0,0,0,0,0
77,5145,0,0,0,1,0,0,0,1,0,0,0,0
78,5372,0,0,0,1,0,0,0,1,0,0,0,0
79,5463,0,0,0,1,0,0,0,1,0,0,0,0
80,5592,0,0,0,1,0,0,0,1,0,0,0,0
81,5595,0,0,0,1,0,0,0,1,0,0,0,0
82,5607,0,0,0,1,0,0,0,1,0,0,0,0
83,5612,0,0,0,1,0,0,0,1,0,0,0,0
84,5660,0,0,0,1,0,0,0,1,0,0,0,0
85,5730,0,0,0,1,0,0,0,1,0,0,0,0
86,5868,0,0,0,1,0,0,0,1,0,0,0,0
87,5926,0,0,0,1,0,0,0,1,0,0,0,0
88,5942,0,0,0,1,0,0,0,1,0,0,0,0
89,5977,0,0,0,1,0,0,0,1,0,0,0,0
90,6058,0,0,0,1,0,0,0,1,0,0,0,0
91,6191,0,0,0,1,0,0,0,1,0,0,0,0
92,6248,0,0,0,1,0,0,0,1,0,0,0,0
93,6258,0,0,0,1,0,0,0,1,0,0,0,0
94,6384,0,0,0,1,0,0,0,1,0,0,0,0
95,6387,0,0,0,1,0,0,0,1,0,0,0,0
96,6552,0,0,0,1,0,0,0,1,0,0,0,0
97,6556,0,0,0,1,0,0,0,1,0,0,0,0
98,6600,0,0,0,1,0,0,0,1,0,0,0,0
99,6732,0,0,0,1,0,0,0,1,0,0,0,0
100,6734,0,0,0,1,0,0,0,1,0,0,0,0
101,6879,0,0,0,1,0,0,0,1,0,0,0,0
102,6891,0,0,0,1,0,0,0,1,0,0,0,0
103,6960,0,0,0,1,0,0,0,1,0,0,0,0
104,7028,0,0,0,1,0,0,0,1,0,0,0,0
105,7041,0,0,0,1,0,0,0,1,0,0,0,0
106,7045,0,0,0,1,0,0,0,1,0,0,0,0
107,7052,0,0,0,1,0,0,0,1,0,0,0,0
108,7114,0,0,0,1,0,0,0,1,0,0,0,0
109,7270,0,0,0,1,0,0,0,1,0,0,0,0
110,7290,0,0,0,1,0,0,0,1,0,0,0,0
111,7333,0,0,0,1,0,0,0,1,0,0,0,0
112,7494,0,0,0,1,0,0,0,1,0,0,0,0
