,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
0,1509,0,0,0,0,0,1,0,0,0,0,0,1
1,3201,0,0,0,0,0,1,0,0,0,0,0,1
2,5115,0,0,0,0,0,1,0,0,0,0,0,1
3,7208,0,0,0,0,0,1,0,0,0,0,0,1
4,9404,0,0,0,0,0,1,0,0,0,0,0,1
5,13017,0,0,0,0,0,1,0,0,0,0,0,1
6,20195,0,0,0,0,0,1,0,0,0,0,0,1
7,23642,0,0,0,0,0,1,0,0,0,0,0,1
8,24473,0,0,0,0,0,1,0,0,0,0,0,1
9,24673,0,0,0,0,0,1,0,0,0,0,0,1
10,25525,0,0,0,0,0,1,0,0,0,0,0,1
11,26257,0,0,0,0,0,1,0,0,0,0,0,1
12,31277,0,0,0,0,0,1,0,0,0,0,0,1
13,34807,0,0,0,0,0,1,0,0,0,0,0,1
14,46491,0,0,0,0,0,1,0,0,0,0,0,1
15,49860,0,0,0,0,0,1,0,0,0,0,0,1
16,54066,0,0,0,0,0,1,0,0,0,0,0,1
17,55175,0,0,0,0,0,1,0,0,0,0,0,1
18,60422,0,0,0,0,0,1,0,0,0,0,0,1
19,60429,0,0,0,0,0,1,0,0,0,0,0,1
20,61141,0,0,0,0,0,1,0,0,0,0,0,1
21,65344,0,0,0,0,0,1,0,0,0,0,0,1
22,68737,0,0,0,0,0,1,0,0,0,0,0,1
23,74206,0,0,0,0,0,1,0,0,0,0,0,1
24,77814,0,0,0,0,0,1,0,0,0,0,0,1
25,78912,0,0,0,0,0,1,0,0,0,0,0,1
26,79600,0,0,0,0,0,1,0,0,0,0,0,1
27,87219,0,0,0,0,0,1,0,0,0,0,0,1
28,97143,0,0,0,0,0,1,0,0,0,0,0,1
29,104568,0,0,0,0,0,1,0,0,0,0,0,1
30,105442,0,0,0,0,0,1,0,0,0,0,0,1
31,116480,0,0,0,0,0,1,0,0,0,0,0,1
32,117914,0,0,0,0,0,1,0,0,0,0,0,1
33,119830,0,0,0,0,0,1,0,0,0,0,0,1
34,120621,0,0,0,0,0,1,0,0,0,0,0,1
35,121161,0,0,0,0,0,1,0,0,0,0,0,1
36,123234,0,0,0,0,0,1,0,0,0,0,0,1
37,125407,0,0,0,0,0,1,0,0,0,0,0,1
38,126413,0,0,0,0,0,1,0,0,0,0,0,1
39,128177,0,0,0,0,0,1,0,0,0,0,0,1
40,134632,0,0,0,0,0,1,0,0,0,0,0,1
41,136162,0,0,0,0,0,1,0,0,0,0,0,1
42,137137,0,0,0,0,0,1,0,0,0,0,0,1
43,140010,0,0,0,0,0,1,0,0,0,0,0,1
44,145478,0,0,0,0,0,1,0,0,0,0,0,1
45,147920,0,0,0,0,0,1,0,0,0,0,0,1
46,149160,0,0,0,0,0,1,0,0,0,0,0,1
47,157690,0,0,0,0,0,1,0,0,0,0,0,1
48,161460,0,0,0,0,0,1,0,0,0,0,0,1
49,161993,0,0,0,0,0,1,0,0,0,0,0,1
50,163006,0,0,0,0,0,1,0,0,0,0,0,1
51,163520,0,0,0,0,0,1,0,0,0,0,0,1
52,165504,0,0,0,0,0,1,0,0,0,0,0,1
53,177502,0,0,0,0,0,1,0,0,0,0,0,1
54,177924,0,0,0,0,0,1,0,0,0,0,0,1
55,180355,0,0,0,0,0,1,0,0,0,0,0,1
56,185024,0,0,0,0,0,1,0,0,0,0,0,1
57,187930,0,0,0,0,0,1,0,0,0,0,0,1
58,188719,0,0,0,0,0,1,0,0,0,0,0,1
59,190696,0,0,0,0,0,1,0,0,0,0,0,1
60,201104,0,0,0,0,0,1,0,0,0,0,0,1
61,207774,0,0,0,0,0,1,0,0,0,0,0,1
62,208517,0,0,0,0,0,1,0,0,0,0,0,1
63,210571,0,0,0,0,0,1,0,0,0,0,0,1
64,213520,0,0,0,0,0,1,0,0,0,0,0,1
65,213554,0,0,0,0,0,1,0,0,0,0,0,1
66,213839,0,0,0,0,0,1,0,0,0,0,0,1
67,218377,0,0,0,0,0,1,0,0,0,0,0,1
68,222484,0,0,0,0,0,1,0,0,0,0,0,1
69,231102,0,0,0,0,0,1,0,0,0,0,0,1
70,240541,0,0,0,0,0,1,0,0,0,0,0,1
71,245020,0,0,0,0,0,1,0,0,0,0,0,1
72,246462,0,0,0,0,0,1,0,0,0,0,0,1
73,249111,0,0,0,0,0,1,0,0,0,0,0,1
